name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
EFFORCE,$0.204,-0.71%,-2.20%,"$31,880,657","$451,512"
Quiztok,$0.008559,+3.36%,+18.40%,"$31,850,818","$418,160"
Smart MFG,$0.09962,+13.31%,+13.83%,"$31,819,563","$377,080"
BTU Protocol,$0.3502,-0.87%,-5.26%,"$31,701,041","$15,592"
Reflexer Ungovernance Token,$181.17,-0.55%,+1.47%,"$31,612,603","$233,314"
Genopets,$9.10,+29.25%,+57.82%,"$31,597,765","$3,826,851"
Oxygen,$0.7071,+7.55%,+8.17%,"$31,325,230","$910,576"
Gifto,$0.0405,+5.33%,+26.32%,"$31,194,442","$7,081,048"
Pendle,$0.3252,+2.95%,+39.42%,"$31,092,952","$500,530"
DEXTools,$0.3129,-3.33%,+5.86%,"$30,998,103","$196,404"
PAID Network,$0.3727,-3.44%,-11.20%,"$30,959,475","$356,193"
SingularityDAO,$1.06,-2.27%,+18.41%,"$30,946,620","$1,766,386"
InsurAce,$0.6891,+1.40%,+5.42%,"$30,936,816","$1,268,530"
ApolloX,$0.07191,-3.31%,+13.16%,"$30,931,652","$2,128,987"
ChainGuardians,$0.7058,-1.02%,+42.70%,"$30,713,215","$994,373"
Drep [new],$0.7697,+1.49%,+9.42%,"$30,709,249","$5,255,393"
Zigcoin,$0.0728,+5.51%,+12.77%,"$30,689,688","$10,489,104"
DogeBonk,$0.00000005259,+1.47%,+52.37%,"$30,655,219","$65,989"
AirSwap,$0.2028,+2.50%,+18.30%,"$30,413,189","$632,332"
Edgeware,$0.005067,+2.52%,+6.88%,"$30,342,775","$652,702"
Peony,$0.2538,-0.73%,+29.69%,"$30,170,376","$131,747"
VITE,$0.06005,+3.86%,+19.70%,"$30,041,677","$4,014,014"
FC Porto Fan Token,$3.85,+1.29%,+28.00%,"$29,997,392","$25,459,410"
Everest,$0.2564,+5.01%,-1.65%,"$29,916,805","$94,676"
GoChain,$0.02609,+2.00%,+28.31%,"$29,611,345","$3,011,842"
PERL.eco,$0.06005,+1.31%,+23.81%,"$29,482,261","$1,440,649"
Poseidon Network,$0.01335,+8.94%,+73.86%,"$29,410,120","$57,342"
Namecoin,$1.99,+4.24%,+15.61%,"$29,336,480","$20,833"
Rubic,$0.2684,-4.84%,+47.32%,"$29,253,206","$1,251,061"
The Midas Touch Gold,$0.003282,+1.78%,+10.59%,"$29,247,296","$1,086,906"
Ariva,$0.0004629,-4.32%,-4.82%,"$29,191,788","$7,496,237"
GET Protocol,$2.56,+5.74%,+24.12%,"$29,133,173","$190,584"
Reserve,$0.9976,+0.02%,+0.33%,"$28,780,313","$8,911"
PornRocket,$0.00000007147,-8.20%,+18.43%,"$28,671,567","$142,244"
PAC Protocol,$0.001778,+0.30%,-2.64%,"$28,662,101","$184,927"
Bread,$0.3221,+1.64%,+40.83%,"$28,622,348","$3,876,068"
NEST Protocol,$0.01427,+6.43%,+27.20%,"$28,617,540","$2,352,970"
USDK,$0.9992,-0.02%,-0.06%,"$28,576,317","$137,764,120"
MAP Protocol,$0.02269,+0.72%,+6.37%,"$28,475,047","$1,050,096"
Tornado Cash,$25.89,+2.54%,+13.13%,"$28,468,655","$6,016,121"
Xeno Token,$0.07622,-2.53%,+12.67%,"$28,369,727","$49,447,382"
Unifi Protocol DAO,$5.50,+0.23%,+11.49%,"$28,327,117","$10,426,724"
Router Protocol,$4.45,-2.35%,+26.22%,"$28,305,769","$1,994,937"
Dora Factory,$7.10,-0.74%,+12.30%,"$28,049,995","$8,900,930"
Nimiq,$0.003139,-4.16%,+3.92%,"$27,997,294","$1,145,975"
KARMA,$0.005129,+0.89%,+18.76%,"$27,957,014",$5
BUX Token,$0.4828,-1.47%,+8.10%,"$27,954,841","$134,430"
MATH,$0.2434,+1.75%,+14.58%,"$27,830,189","$331,563"
DeHub,$0.007149,+11.52%,+22.16%,"$27,624,197","$216,458"
ShareToken,$0.01183,+1.63%,+8.86%,"$27,612,127","$437,036"
BEPRO Network,$0.004073,+5.46%,+41.98%,"$27,551,503","$1,280,806"
BitForex Token,$0.006415,+2.63%,-0.98%,"$27,495,134","$411,408"
VIDT Datalink,$0.5502,+3.43%,+0.95%,"$27,193,203","$5,887,250"
ELYSIA,$0.008343,+0.29%,+11.17%,"$26,956,595","$646,566"
Numbers Protocol,$0.5072,-1.77%,+12.35%,"$26,867,493","$1,922,314"
Pawtocol,$0.1041,-5.49%,+24.40%,"$26,851,254","$11,005,419"
Soda Coin,$0.0152,+1.13%,+6.78%,"$26,810,363","$1,005,164"
Counterparty,$10.25,+5.87%,+8.99%,"$26,782,560","$95,293"
Lossless,$0.7026,+3.33%,+21.06%,"$26,574,244","$757,125"
QASH,$0.07586,+6.44%,-3.06%,"$26,552,554","$443,483"
DXdao,$538.32,+5.25%,+18.80%,"$26,549,954","$104,350"
Oxen,$0.4643,+0.04%,-2.21%,"$26,493,177","$113,601"
Hiblocks,$0.002861,-0.14%,+6.07%,"$26,343,942","$281,414"
Retreeb,$0.1705,+18.37%,+32.10%,"$26,255,941","$1,347,837"
Switcheo,$0.01583,+2.04%,+11.41%,"$26,230,042","$81,889"
BENQI,$0.08009,-4.75%,+34.42%,"$26,085,377","$23,775,986"
Nexus,$0.3575,+1.62%,+21.19%,"$25,988,087","$855,291"
Curate,$3.11,+20.51%,+67.41%,"$25,954,595","$3,046,367"
DeXe,$7.39,+3.16%,+12.54%,"$25,925,429","$7,217,652"
Talken,$0.4168,+9.80%,+6.75%,"$25,730,141","$306,815"
Locus Chain,$0.0289,-1.72%,-0.69%,"$25,430,545","$664,522"
FC Barcelona Fan Token,$7.12,+3.54%,+18.40%,"$25,282,998","$3,146,459"
Gemma Extending Tech,$0.3673,+22.85%,+39.66%,"$25,174,019","$7,377,387"
ReddCoin,$0.0008269,-0.75%,+5.95%,"$25,133,909","$47,262"
Auto,$472.81,+5.18%,+19.09%,"$25,091,186","$2,894,001"
Era Swap,$0.025,+4.09%,-3.87%,"$24,932,041","$133,214"
Vesper,$2.92,-4.13%,-6.00%,"$24,908,475","$269,475"
Shiryo-Inu,$0.0...02536,-15.66%,-13.40%,"$24,902,235","$578,339"
LikeCoin,$0.02288,+0.05%,+9.17%,"$24,773,167","$57,877"
Student Coin,$0.004627,+3.22%,-2.61%,"$24,627,417","$639,765"
OpenOcean,$0.164,+0.17%,+9.96%,"$24,584,296","$2,194,387"
GAMEE,$0.1786,+2.51%,+15.86%,"$24,567,898","$1,617,895"
Epic Cash,$1.78,+13.43%,+0.67%,"$24,449,958","$18,818"
Jupiter,$0.02817,+10.90%,+51.80%,"$24,294,941","$1,210,372"
Cream Finance,$39.16,+1.71%,+24.75%,"$24,138,417","$6,343,592"
Populous,$0.4517,+17.50%,+39.88%,"$24,054,663","$431,689"
GamerCoin,$0.05959,+1.81%,+13.69%,"$23,917,362","$857,063"
Wing Finance,$10.34,+2.48%,+16.50%,"$23,847,346","$1,838,536"
DxChain Token,$0.0004764,-1.43%,-2.82%,"$23,820,564","$37,709"
King DAG,$0.4377,-0.85%,+8.39%,"$23,743,324","$17,620"
GYEN,$0.008636,-0.09%,-1.08%,"$23,611,755","$224,178"
TEMCO,$0.005918,+0.99%,+10.24%,"$23,513,107","$469,683"
VIMworld,$0.004114,+2.00%,+18.89%,"$22,902,725","$23,898"
Vertcoin,$0.3606,+1.43%,+12.26%,"$22,879,936","$394,126"
Valor Token,$1.14,+4.34%,+48.77%,"$22,840,675","$25,455,666"
GameCredits,$0.125,-1.04%,+20.17%,"$22,827,376","$35,739"
Newton,$0.001109,+2.86%,-2.38%,"$22,820,214","$2,780,659"
Misbloc,$0.1711,+7.49%,+17.34%,"$22,734,668","$24,005,843"
PIVX,$0.3328,-0.60%,+14.43%,"$22,724,238","$105,060"
Dovu,$0.02438,+7.30%,+3.21%,"$22,702,394","$31,650"
Exeedme,$0.3494,+0.09%,+20.67%,"$22,491,271","$239,998"
Permission Coin,$0.001418,-2.36%,-4.47%,"$22,479,488","$244,360"
LBRY Credits,$0.03476,-2.63%,+15.17%,"$22,462,477","$53,068"
Observer,$0.004114,-2.53%,+11.42%,"$22,367,674","$116,157"
Ethereum Push Notification Service,$1.45,+2.48%,+13.78%,"$22,193,870","$1,992,325"
Inter Milan Fan Token,$7.38,+4.47%,+7.49%,"$22,142,378","$1,580,326"
Hamster,$0.000000009218,-0.91%,+3.49%,"$21,977,524","$204,980"
Lattice Token,$0.7652,+4.50%,+22.00%,"$21,958,345","$383,191"
GMCoin,$0.5285,-0.38%,+0.18%,"$21,765,713","$527,758"
Zynecoin,$0.8194,-4.71%,+35.50%,"$21,758,205","$171,331"
BLOCKv,$0.006199,+0.51%,+6.42%,"$21,520,224","$16,190"
ChainX,$1.74,-1.35%,+6.23%,"$21,408,239","$602,471"
FOAM,$0.06747,+5.56%,+38.62%,"$21,358,972","$5,738"
DSLA Protocol,$0.003959,+5.95%,+16.40%,"$21,300,278","$610,839"
ASTA,$0.01178,-1.08%,+4.60%,"$21,212,234","$3,299,036"
Life Crypto,$0.003018,-0.11%,+22.10%,"$21,133,747","$544,793"
Polychain Monsters,$6.15,+3.31%,+29.61%,"$20,974,488","$928,170"
Lotto,$0.01047,+2.93%,+26.79%,"$20,946,315","$2,666"
Spartan Protocol,$0.2077,+12.09%,+55.37%,"$20,917,140","$1,925,172"
Mobius,$0.03802,-1.52%,-16.32%,"$20,914,455","$115,401"
vEmpire DDAO,$0.12,+4.76%,+9.04%,"$20,837,910","$2,128,740"
Crypterium,$0.2552,-28.48%,+14.48%,"$20,795,994","$4,633,918"
PolkaBridge,$0.4688,+1.66%,+15.32%,"$20,560,942","$1,213,934"
Nash,$0.7049,+10.09%,-2.01%,"$20,558,331","$189,946"
Luna Rush,$4.44,+5.44%,+21.77%,"$20,225,225","$6,971,259"
Gameswap,$1.80,+7.75%,+14.87%,"$20,181,181","$125,269"
Opacity,$0.2504,-8.23%,+21.14%,"$20,148,879","$729,062"
TokenClub,$0.02452,+3.45%,+25.19%,"$20,054,292","$1,266,902"
BABB,$0.0004018,-0.29%,+17.96%,"$20,030,240","$451,141"
Goldfinch,$3.94,+1.31%,-6.37%,"$19,998,157","$1,547,430"
e-Money,$1.01,+0.33%,+9.56%,"$19,983,841","$661,367"
Pluton,$10.77,+2.37%,-17.58%,"$19,950,984","$2,294,836"
0Chain,$0.4117,+0.73%,+37.05%,"$19,927,465","$82,941"
Cryptex Finance,$7.73,+0.15%,-6.84%,"$19,856,931","$1,119,038"
Internxt,$17.65,-11.63%,-12.08%,"$19,755,537","$499,233"
Unifty,$10.98,-8.33%,-17.73%,"$19,607,028","$1,750,820"
EpiK Protocol,$0.1487,-2.31%,-3.38%,"$19,340,056","$4,052,117"
Peercoin,$0.7019,+1.77%,+24.81%,"$19,221,859","$10,806"
#MetaHash,$0.006245,-2.73%,-0.53%,"$19,196,503","$366,342"
Particl,$1.61,-7.41%,-8.28%,"$19,196,440","$5,978"
SHILL Token,$0.2098,-6.49%,+32.99%,"$19,038,060","$2,216,712"
SparkPoint,$0.002265,+39.09%,+66.90%,"$19,019,081","$3,303,908"
Arcblock,$0.1915,-2.84%,+1.06%,"$18,876,016","$3,880,132"
AstroSwap,$0.04352,+17.54%,-32.58%,"$18,645,226","$809,640"
Electra Protocol,$0.001066,+3.21%,+4.66%,"$18,517,232","$54,346"
K21,$1.28,+1.84%,+7.95%,"$18,486,763","$280,878"
Etherisc DIP Token,$0.0935,+2.73%,+10.46%,"$18,452,700","$45,457"
BitKan,$0.001929,+0.22%,+7.51%,"$18,398,055","$91,205"
CUTcoin,$0.1185,-6.31%,+30.88%,"$18,378,024",$86
Solrise Finance,$0.3317,-0.64%,-8.77%,"$18,344,878","$498,848"
Decimated,$0.3883,+4.72%,+16.55%,"$18,344,336","$3,827,148"
Aventus,$3.04,+6.92%,-9.79%,"$18,239,660","$1,463,411"
Quantum Resistant Ledger,$0.2389,+0.30%,+37.33%,"$18,140,376","$35,728"
DIGG,"$35,918.21",+2.05%,+14.34%,"$18,064,148","$102,604"
ProximaX,$0.002945,+7.66%,+17.39%,"$17,954,820","$169,811"
Clearpool,$0.337,+2.59%,-24.96%,"$17,902,191","$1,396,525"
Banano,$0.01351,-3.63%,-0.75%,"$17,823,091","$56,547"
saffron.finance,$193.87,+9.43%,+3.62%,"$17,794,355","$354,167"
Validity,$3.94,-0.12%,+14.49%,"$17,742,776","$193,023"
Bankera,$0.0007094,+3.20%,+5.75%,"$17,664,214",N/A
Signata,$0.4844,-3.65%,+8.42%,"$17,605,141","$374,891"
UniLend,$0.5643,+3.61%,+5.59%,"$17,522,569","$1,162,032"
Grin,$0.1813,-2.18%,+6.47%,"$17,502,220","$1,803,892"
Doge Dash,$0.0003194,+4.35%,+9.39%,"$17,263,912","$114,179"
HAPI Protocol,$29.97,-3.05%,+18.32%,"$17,106,878","$4,761,214"
DeGate,$0.2079,+1.13%,-2.36%,"$17,093,968","$2,822,916"
Bitball Treasure,$37.92,+6.35%,-2.34%,"$17,064,997","$220,646"
Spiking,$0.03832,+3.20%,+19.29%,"$16,969,667",N/A
Emirex Token,$0.6265,+0.42%,+20.83%,"$16,953,635","$408,912"
UBIX.Network,$0.0003703,-5.74%,+52.88%,"$16,870,106","$2,999,322"
Stakeborg DAO,$12.54,-1.77%,-6.96%,"$16,790,968","$49,510"
HyperCash,$0.3718,-3.19%,+7.16%,"$16,756,027","$737,110"
Torum,$0.3197,+3.93%,+33.82%,"$16,739,009","$1,403,590"
IQeon,$3.04,+0.81%,+5.88%,"$16,690,821","$1,794,419"
SwftCoin,$0.004144,+0.11%,+193.39%,"$16,597,168","$25,075,423"
Oxbull.tech,$2.21,+3.32%,+27.08%,"$16,576,259","$68,967"
Ondori,$0.0004388,+0.89%,+18.76%,"$16,570,976",N/A
Niftyx Protocol,$0.3219,+4.56%,+5.55%,"$16,543,110","$282,836"
HoDooi.com,$0.08112,-1.30%,-6.57%,"$16,450,036","$349,892"
Global Coin Research,$4.11,+7.19%,+23.23%,"$16,448,960","$4,781"
Mint Club,$0.00001573,-3.69%,-8.03%,"$16,384,539","$2,434,954"
Crust Network,$5.35,-4.38%,-10.97%,"$16,373,613","$1,561,962"
BigONE Token,$0.001723,+0.57%,+7.45%,"$16,270,738",N/A
Deri Protocol,$0.1153,+1.65%,-12.88%,"$16,239,725","$425,088"
Callisto Network,$0.00523,+3.34%,+6.09%,"$16,231,472","$40,041"
MILC Platform,$0.2049,+0.22%,+21.54%,"$16,177,656","$676,591"
O3 Swap,$0.394,+0.68%,-8.89%,"$16,037,178","$2,036,533"
Wabi,$0.1594,+2.21%,+27.25%,"$15,957,701","$1,607,919"
Belt Finance,$1.68,+0.49%,+40.16%,"$15,940,435","$268,860"
88mph,$36.09,-0.34%,+58.36%,"$15,933,727","$190,907"
Only1,$0.1614,+12.17%,+18.71%,"$15,830,405","$993,830"
Pickle Finance,$8.28,+2.71%,+13.10%,"$15,799,816","$1,771,289"
BIDR,$0.00006966,+0.25%,+0.35%,"$15,722,736","$43,746,875"
Santiment Network Token,$0.2471,+1.58%,+19.86%,"$15,640,168","$33,673"
Muse,$30.58,+17.96%,+25.33%,"$15,551,162","$687,199"
Ambrosus,$0.02766,+4.39%,+15.20%,"$15,514,649","$416,770"
OneLedger,$0.03153,+9.04%,+29.70%,"$15,514,536","$302,821"
Nebulas,$0.2537,+0.88%,+13.69%,"$15,497,644","$1,951,600"
Pallapay,$0.02639,-0.07%,+16.46%,"$15,469,740","$400,787"
Darwinia Network,$0.02989,-2.28%,+12.26%,"$15,464,704","$870,845"
NFTb,$0.1454,+0.56%,+11.61%,"$15,448,011","$961,546"
Tarot,$0.6428,+1.16%,+17.69%,"$15,444,998","$874,996"
Sylo,$0.006338,-5.53%,+3.20%,"$15,411,815","$519,920"
TrueChain,$0.1931,-6.47%,+71.84%,"$15,367,475","$8,263,246"
Umbrella Network,$0.2064,+11.80%,+38.02%,"$15,284,344","$2,019,344"
Blockchain Monster Hunt,$0.3743,-0.34%,+5.85%,"$15,231,052","$668,449"
Galaxy Heroes Coin,$0.00000001519,+4.14%,-25.74%,"$15,188,165","$1,473,320"
Mogul Productions,$0.04928,+9.06%,+64.15%,"$15,111,539","$1,831,321"
StableXSwap,$1.11,+1.04%,+8.76%,"$15,085,264",$22
AC Milan Fan Token,$4.78,+5.96%,+20.67%,"$15,008,107","$7,457,588"
Polkamarkets,$0.3043,+7.30%,+21.11%,"$14,909,486","$187,748"
USDJ,$1.00,+0.21%,+0.04%,"$14,856,615","$2,155,139"
Mogul Productions,$0.04837,+6.99%,+61.16%,"$14,834,178","$1,831,318"
Safe Haven,$0.00493,-7.76%,+21.09%,"$14,817,696","$969,269"
OneArt,$0.1557,-1.47%,+13.72%,"$14,766,943","$320,676"
Nestree,$0.006273,+3.95%,+11.19%,"$14,716,331","$1,708,661"
BetU,$0.1364,+0.59%,+3.85%,"$14,679,985","$1,293,219"
Kryptomon,$0.07731,+1.94%,+18.20%,"$14,676,210","$688,253"
Arianee,$0.5437,+7.10%,+24.47%,"$14,595,537",$966
Zano,$1.32,+4.77%,+46.74%,"$14,517,445","$164,350"
TE-FOOD,$0.02525,+0.52%,+29.09%,"$14,359,843","$115,477"
Signum,$0.006715,+2.59%,+18.62%,"$14,308,393","$24,093"
Tachyon Protocol,$0.05353,+6.57%,+20.79%,"$14,285,969","$3,740,533"
AntiMatter Governance Token,$0.454,+1.17%,+4.02%,"$14,210,474","$263,953"
RioDeFi,$0.04768,+4.47%,+27.08%,"$14,099,214","$1,965,257"
Cindicator,$0.007019,+0.93%,+11.78%,"$14,037,636","$64,556"
smARTOFGIVING,$0.1903,-2.91%,-0.30%,"$14,037,097","$32,414"
Minter Network,$0.002671,-4.18%,+6.26%,"$13,969,925","$7,376"
Metaverse ETP,$0.1752,+17.16%,+55.14%,"$13,965,015","$82,606"
Xaya,$0.2872,-2.61%,+7.38%,"$13,918,801","$26,983"
Lithium,$0.007499,-0.11%,-15.10%,"$13,852,495","$577,536"
GoCrypto Token,$0.05645,-6.16%,+5.04%,"$13,844,763","$153,532"
Santos FC Fan Token,$3.04,+2.86%,+17.56%,"$13,812,473","$10,061,305"
Abyss,$0.06025,-0.05%,+3.00%,"$13,777,292","$204,947"
Infinity PAD,$0.02548,+9.80%,+27.76%,"$13,757,568","$135,731"
Rupiah Token,$0.00006999,+0.15%,+0.03%,"$13,672,416","$402,773"
ADAPad,$0.115,-6.78%,-6.33%,"$13,532,469","$846,344"
Bitcoin 2,$0.7476,-4.06%,+12.05%,"$13,423,195",$657
WOM Protocol,$0.127,+3.06%,+13.06%,"$13,417,427","$1,299,981"
ParaSwap,$0.1837,+1.40%,+6.21%,"$13,387,195","$486,115"
GPEX,$1.71,+0.43%,-1.73%,"$13,346,910","$173,908"
SafeMoon Inu,$0.00001332,+1.39%,+54.54%,"$13,320,120","$85,495"
Unicly CryptoPunks Collection,$0.05312,+2.85%,+49.20%,"$13,280,627","$115,832"
Birake,$0.1316,+0.92%,+18.73%,"$13,274,798","$5,237"
suterusu,$0.003423,+2.80%,+14.60%,"$13,194,550","$200,227"
Convergence,$0.007929,+0.97%,+13.42%,"$13,193,533","$1,471,087"
UniCrypt,$479.47,+3.02%,+10.97%,"$13,140,725","$823,292"
ProBit Token,$0.312,+4.28%,+8.39%,"$13,101,968","$14,753"
Aurora,$0.001308,-1.10%,+7.88%,"$13,045,897","$343,355"
dHedge DAO,$0.544,+0.38%,+0.70%,"$12,983,121","$242,022"
Navcoin,$0.1777,+0.45%,+9.66%,"$12,936,048","$134,303"
Raiden Network Token,$0.1927,+0.60%,+17.61%,"$12,873,991","$111,995"
mStable Governance Token: Meta (MTA),$0.7413,+3.72%,+17.95%,"$12,852,337","$1,198,477"
Sin City Metaverse,$0.1387,-11.51%,-5.35%,"$12,840,708","$1,051,078"
SENATE DAO,$2.06,-0.33%,+5.06%,"$12,746,054","$212,729"
Infinitecoin,$0.0001404,+0.92%,+11.75%,"$12,717,467",$1
Kylin,$0.08145,-0.91%,+0.52%,"$12,602,349","$242,832"
DuckDaoDime,$12.14,+1.26%,+1.22%,"$12,594,035","$232,986"
Neblio,$0.6742,+1.12%,+28.61%,"$12,577,235","$59,128"
Ignis,$0.01644,+2.93%,+9.26%,"$12,512,182","$175,792"
FIBOS,$0.01165,-2.27%,-4.50%,"$12,481,679","$364,084"
Atletico De Madrid Fan Token,$5.97,+5.88%,+17.10%,"$12,462,929","$4,708,252"
Levolution,$0.09609,+10.38%,+6.28%,"$12,460,509","$79,297"
Oraichain Token,$6.08,+21.08%,+30.21%,"$12,421,000","$1,311,409"
Cashaa,$0.01512,+3.85%,+13.05%,"$12,389,601","$342,381"
Tokamak Network,$4.51,+2.34%,+7.56%,"$12,293,033","$5,671,492"
MahaDAO,$3.98,+0.05%,+21.82%,"$12,234,792","$1,086,352"
Shopping,$13.78,+4.96%,+32.10%,"$12,228,626","$367,223"
Earneo,$0.04781,+1.39%,+8.83%,"$12,169,083","$35,239"
Orion Money,$0.2465,+1.92%,+8.51%,"$12,153,019","$185,090"
RING X PLATFORM,$0.03875,+12.12%,+25.49%,"$12,129,326","$3,787,268"
APY.Finance,$0.2056,+9.56%,+27.04%,"$12,120,220","$170,129"
Venus SXP,$0.03054,+0.76%,+13.55%,"$12,112,960",N/A
Project WITH,$0.01405,+1.85%,+8.49%,"$12,060,365","$289,871"
ZeroSwap,$0.1899,+9.35%,+49.66%,"$12,047,703","$925,280"
MetaPets,$0.0...02318,-3.51%,-11.53%,"$11,979,112","$183,189"
CONTRACOIN,$0.2749,+1.18%,+5.69%,"$11,976,689",$86
Finxflo,$0.143,+3.04%,+10.36%,"$11,931,564","$50,454"
Govi,$1.11,+5.79%,+25.04%,"$11,904,249","$478,776"
Factom,$1.16,+1.11%,+25.28%,"$11,810,691",$757
BullPerks,$0.2704,+5.70%,+18.66%,"$11,805,637","$286,248"
Mirrored Tesla,$984.30,+1.74%,+2.87%,"$11,770,853","$74,277"
apM Coin,$0.03242,-2.25%,+11.76%,"$11,733,632","$115,719"
Agoras: Currency of Tau,$0.6511,-2.98%,+14.03%,"$11,720,237","$5,450"
Nitro Network,$0.001595,+5.27%,+8.82%,"$11,656,781","$45,000"
Sarcophagus,$0.7443,+7.78%,+4.30%,"$11,649,360","$226,285"
Revomon,$0.4691,+0.30%,+31.02%,"$11,638,516","$947,078"
GameZone,$0.1815,-7.72%,+13.47%,"$11,597,965","$552,202"
Phoenix Global (new),$0.3113,+2.17%,+20.19%,"$11,561,204","$194,616"
Dfyn Network,$0.1385,+3.02%,+15.12%,"$11,555,953","$1,018,445"
Genaro Network,$0.01767,+5.98%,+32.56%,"$11,486,262","$500,055"
Venus LTC,$2.77,+1.87%,+26.94%,"$11,473,877",N/A
Visor.Finance,$0.3819,+1.88%,+7.57%,"$11,456,527",N/A
Skey Network,$0.06286,+3.25%,-0.78%,"$11,417,942","$1,310,922"
Venus LINK,$0.3662,+0.87%,+15.49%,"$11,317,703",N/A
OAX,$0.1468,-0.05%,+18.30%,"$11,306,538","$152,611"
MCDEX Token,$6.08,-7.96%,-4.83%,"$11,270,899","$695,666"
Florin,$83.37,+19.43%,+36.79%,"$11,244,253","$8,936"
Trabzonspor Fan Token,$4.76,+6.66%,+24.76%,"$11,212,914","$3,964,783"
DeepBrain Chain,$0.003499,+11.91%,+21.25%,"$11,196,618","$357,554"
Tulip Protocol,$13.70,+2.85%,+4.42%,"$11,167,736","$425,577"
SafeCoin,$0.4018,+0.70%,+8.76%,"$11,144,782","$1,982"
Strips Finance,$3.00,+4.24%,+1.55%,"$11,142,457","$294,205"
Mirrored Apple,$173.73,-0.55%,+0.27%,"$11,088,416","$453,455"
unFederalReserve,$0.0254,+5.54%,+23.51%,"$11,003,520","$570,177"
AnRKey X,$0.08778,+1.18%,+26.71%,"$10,991,620","$207,311"
CumRocket,$0.008322,-2.25%,+11.85%,"$10,989,089","$88,429"
Venus Reward Token,$0.0004994,+0.66%,+24.07%,"$10,985,759","$224,017"
PlotX,$0.1649,+24.97%,+34.70%,"$10,934,635","$545,907"
Shirtum,$0.09416,+0.61%,+17.55%,"$10,922,574","$113,971"
Monetha,$0.027,+2.57%,+20.17%,"$10,862,912","$567,801"
Nxt,$0.01087,+2.85%,+14.90%,"$10,854,560","$727,431"
BlockWallet,$0.5596,-7.14%,+23.22%,"$10,852,484","$399,895"
WELL,$0.07908,+11.85%,-4.11%,"$10,840,855","$3,991"
FortKnoxster,$0.0719,+1.73%,+39.07%,"$10,718,744","$631,638"
Trias Token (new),$6.73,+1.16%,+26.17%,"$10,763,388","$2,049,983"
Cardstack,$0.004498,-1.56%,+20.12%,"$10,605,785","$115,420"
Mirrored iShares Silver Trust,$21.81,+1.70%,+4.18%,"$10,542,279","$768,691"
SENSO,$0.8623,+4.47%,+1.71%,"$10,555,437","$2,486,722"
Vidya,$0.2598,+0.85%,+39.56%,"$10,509,024","$104,462"
JulSwap,$0.01772,+5.93%,+15.66%,"$10,490,930","$481,793"
Galatasaray Fan Token,$2.97,+1.74%,+10.54%,"$10,430,551","$1,096,485"
CWV Chain,$0.00294,+6.68%,+11.81%,"$10,411,234","$7,944"
Anchor,$0.8079,+1.19%,+1.58%,"$10,367,081","$6,408"
Idavoll Network,$0.01224,+4.69%,+26.38%,"$10,362,182","$397,373"
EOS Force,$0.01059,+18.85%,+33.24%,"$10,206,285","$86,838"
Lightning,$0.1608,-1.64%,-2.12%,"$10,337,332","$29,842"
Seascape Crowns,$4.76,+2.49%,+15.04%,"$10,325,563","$878,470"
Taraxa,$0.007664,+2.01%,+12.78%,"$10,293,348","$823,359"
Stakenet,$0.08332,+8.94%,+68.45%,"$10,363,492","$49,972"
Huobi Pool Token,$0.002208,-0.91%,+0.34%,"$10,280,887","$81,305"
0xBitcoin,$1.79,+1.06%,-1.06%,"$10,275,335","$370,452"
Lamden,$0.072,+4.78%,+6.91%,"$10,239,088","$707,852"
AXIA Coin,$8.95,+3.47%,+7.25%,"$10,226,117","$329,291"
Ispolink,$0.003991,+6.22%,+17.56%,"$10,189,636","$4,488,517"
WOOF,$0.0005675,-0.90%,+16.45%,"$10,159,527","$207,958"
Bithao,$0.1871,-0.00%,+0.04%,"$10,135,788",N/A
BnkToTheFuture,$0.01387,-2.60%,+7.19%,"$10,123,551","$28,222"
Credits,$0.04518,-5.93%,-21.94%,"$10,095,789","$323,878"
Dexlab,$0.192,+9.74%,+8.07%,"$10,083,361","$140,367"
Tranche Finance,$0.5031,+1.00%,+4.84%,"$10,061,906","$60,577"
Bridge Mutual,$0.155,+2.57%,+9.21%,"$10,027,649","$93,346"
Modefi,$0.6888,-0.34%,+10.09%,"$10,022,734","$92,600"
FREEdom Coin,$0.000001006,+1.51%,-3.18%,"$9,997,267","$290,308"
KCCPAD,$0.0733,-2.42%,+9.53%,"$9,979,034","$125,015"
Tokenomy,$0.04979,+2.72%,+9.15%,"$9,957,227","$107,830"
TrustVerse,$0.01534,+1.24%,+9.59%,"$9,935,609","$110,400"
ExNetwork Token,$0.1576,+2.75%,+13.13%,"$9,936,374",$199
Kromatika,$0.1235,-7.52%,+40.10%,"$9,917,675","$390,095"
DAFI Protocol,$0.0183,+2.26%,+3.18%,"$9,897,748","$390,823"
NerveNetwork,$0.03564,-6.11%,+13.31%,"$9,881,784","$230,708"
Chainge,$0.0895,-0.10%,-5.09%,"$9,849,141","$178,623"
ROOBEE,$0.003857,+2.27%,+32.31%,"$9,836,420","$1,591,286"
Prism,$0.01984,-6.30%,-8.08%,"$9,815,872","$262,250"
Mirrored Alibaba,$131.88,+4.63%,+4.08%,"$9,789,062","$523,134"
Morpheus Labs,$0.02086,-2.69%,+46.36%,"$9,722,977","$167,289"
