name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
Rocket Pool,$35.62,+19.49%,+25.66%,"$366,170,696","$2,584,302"
MobileCoin,$4.78,-0.65%,+2.57%,"$354,544,974","$440,507"
Bitpanda Ecosystem Token,$0.9014,+0.34%,+1.32%,"$325,475,812","$81,845"
Telos,$1.20,-7.53%,+8.72%,"$323,617,098","$5,224,165"
MetisDAO,$147.21,+2.54%,+34.09%,"$305,105,468","$38,634,703"
Sapphire,$0.5356,+0.91%,+30.52%,"$287,916,065","$861,907"
Bifrost (BFC),$0.2574,+11.90%,+31.73%,"$283,799,588","$10,759,028"
Metahero,$0.05251,+3.45%,+9.49%,"$267,575,490","$7,104,461"
Everscale,$0.2899,-1.76%,+0.11%,"$265,812,080","$1,226,018"
LUKSO,$17.11,-3.98%,+9.85%,"$260,238,978","$1,918,125"
Aurora,$12.62,-2.06%,-2.92%,"$256,287,399","$10,420,326"
Starlink,$0.00002554,-1.43%,+7.31%,"$254,851,279","$10,057,101"
Origin Dollar,$0.996,+0.01%,-0.00%,"$253,312,733","$1,474,023"
GlitzKoin,$1.01,+3.30%,+9.28%,"$250,325,413","$273,508"
Victoria VR,$0.3406,-4.98%,-1.07%,"$241,911,494","$5,893,233"
MXC,$0.08948,+0.74%,+13.62%,"$236,427,292","$17,068,741"
Injective,$4.86,+0.81%,+21.69%,"$236,258,837","$13,620,472"
JOE,$1.40,+6.36%,+10.01%,"$233,772,112","$17,103,950"
Dvision Network,$0.7587,+0.63%,+18.12%,"$231,633,541","$2,028,112"
Gemini Dollar,$0.9985,+0.01%,+0.33%,"$227,932,464","$5,193,998"
Reef,$0.01247,+3.05%,+29.40%,"$224,868,342","$32,018,399"
Mdex,$0.2644,+3.06%,+18.75%,"$223,995,122","$8,278,981"
Ardor,$0.2235,+1.85%,+17.09%,"$223,231,743","$9,871,017"
Orbs,$0.07725,+0.67%,+18.80%,"$222,232,354","$2,850,575"
Pundi X (New),$0.8527,+1.40%,+8.13%,"$220,428,665","$16,752,726"
Divi,$0.08014,+0.83%,+14.36%,"$218,933,103","$272,409"
Alchemy Pay,$0.05461,+17.98%,+48.00%,"$218,896,654","$162,164,946"
Civic,$0.3265,+6.85%,+12.94%,"$218,762,123","$46,423,640"
MaidSafeCoin,$0.4815,+1.00%,+27.94%,"$217,904,643","$7,410"
Status,$0.06276,-1.24%,+26.23%,"$217,823,784","$18,783,035"
Dusk Network,$0.558,+3.46%,+20.24%,"$217,342,464","$32,713,945"
Pirate Chain,$1.14,+23.54%,+71.11%,"$216,381,878","$1,140,685"
Trust Wallet Token,$0.6179,+0.64%,+14.91%,"$214,387,449","$8,773,541"
